"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" йокдохыв ястежак отч ,"" унул итсапс";"огоннешиламу";"спасти луну "", что кажется выходкой ";"умалишенного";", ";"а на самом деле может быть";"Игорь Золотусский. «Записки сумасшедшего» и «Записки из подполья» // «Октябрь», 2002";"Игорь Золотусский";"1930";"«Записки сумасшедшего» и «Записки из подполья»";"2002";"публицистика";"статья";"искусство и культура";"«Октябрь»";"2002";"журнал";"омонимия снята вручную";"217";"3523";"н-возраст";"н-уровень";"большая";"Он хочет ""спасти луну "", что кажется выходкой умалишенного, а на самом деле может быть отнесено к состраданию, масштаб которого захватывает и космос, ибо луна для Поприщина не мертвое тело, а ""нежный шар "". ";"1877:178:9"
" идеречо йонтолп в летоп омярпу я";"хыннешиламу";"я упрямо потел в плотной очереди ";"умалишенных";" ";"с половины третьего до пяти. ";"Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001";"Андрей Волос";"1955";"Недвижимость";"2000";"художественная";"роман";"";"«Новый Мир»";"2001";"журнал";"омонимия снята вручную";"9706";"80606";"н-возраст";"н-уровень";"большая";"До кучи -- обстановку в будяевском РЭУ, где я упрямо потел в плотной очереди умалишенных с половины третьего до пяти. ";"967:2669:13"
" мод ин ,ялварт яащбоесв ин ,еинаволажзар";"хыннешиламу";"разжалование, ни всеобщая травля, ни дом ";"умалишенных";", ";"ни пожизненная тюрьма, ни ссылка не";"Александр Солженицын. В круге первом, т.1, гл. 1-25 (1968) // «Новый Мир», 1990";"Александр Солженицын";"1918";"В круге первом, т.1, гл. 1-25";"1968";"художественная";"роман";"";"«Новый Мир»";"1990";"журнал";"омонимия снята вручную";"4355";"50293";"н-возраст";"н-уровень";"большая";"А в том и была всю жизнь отличительная черта его как государственного деятеля: ни разжалование, ни всеобщая травля, ни дом умалишенных, ни пожизненная тюрьма, ни ссылка не казались ему достаточной мерой для человека, признанного опасным. ";"958:3650:20"
" еинанзос теуриуртснокер »етнирибал ясмещюяроксУ« в сдлуФ";"огоннешиламу";"Фулдс в «Ускоряющемся лабиринте» реконструирует сознание ";"умалишенного";" ";"поэта на примере Джона Клэра. ";"Л. В. Оборин. Боуи, современная «Орестея» и роман о неандертальцах. Лучшее в литературном интернете: 11 самых интересных ссылок недели (21.05.2017)";"Л. В. Оборин";"1987";"Боуи, современная «Орестея» и роман о неандертальцах. Лучшее в литературном интернете: 11 самых интересных ссылок недели";"21.05.2017";"публицистика | нехудожественная";"обзор";"искусство и культура | досуг, зрелища и развлечения";"";"";"электронное издание";"омонимия снята автоматически";"94";"1880";"н-возраст";"н-уровень";"большая";"Что же происходит, когда… слова вкладывают в уста давно умерших исторических деятелей?» Современные писатели обращаются с ними куда вольнее, чем раньше: так Лоран Бине в «Седьмой функции языка» выстраивает сатирический детектив вокруг Ролана Барта, а Адам Фулдс в «Ускоряющемся лабиринте» реконструирует сознание умалишенного поэта на примере Джона Клэра. ";"55923:83:42"
" отч ,йонишам йотэ аз угеБ";"яаннешиламу";"Бегу за этой машиной, что ";"умалишенная";", ";"и вдруг слышу оттуда: «Дуня!» ";"Елена Родченкова. Ночные фиалки // «Ковчег», 2015";"Елена Родченкова";"1965";"Ночные фиалки";"2015";"художественная";"рассказ";"";"«Ковчег»";"2015";"журнал";"омонимия снята автоматически";"1628";"11627";"н-возраст";"н-уровень";"большая";"Бегу за этой машиной, что умалишенная, и вдруг слышу оттуда: «Дуня!» ";"60514:1130:5"
" ьшил ьтсе ,котясед хынжамуб ешьлоб теН";"еыннёшиламу";"Нет больше бумажных десяток, есть лишь ";"умалишённые";" ";"духи, что носятся по улицам и";"Виктор Iванiв. Конец Покемаря // «Волга», 2014";"Виктор Iванiв";"1977";"Конец Покемаря";"2014";"художественная";"повесть";"";"«Волга»";"2014";"журнал";"омонимия снята автоматически";"542";"13192";"н-возраст";"н-уровень";"большая";"Нет больше бумажных десяток, есть лишь умалишённые духи, что носятся по улицам и глядят сквозь головы на просвет. ";"62054:111:6"
" --";"хыннешиламУ";"-- ";"Умалишенных";" ";"больше нет, -- блестя исподлобья живыми глазами";"Ольга Андреева. Стланная стлана // «Русский репортер», 2014";"Ольга Андреева";"";"Стланная стлана";"2014";"публицистика";"репортаж";"политика и общественная жизнь | администрация и управление | сельское хозяйство";"«Русский репортер»";"2014";"журнал";"омонимия снята автоматически";"582";"5082";"н-возраст";"н-уровень";"большая";"Умалишенных больше нет, -- блестя исподлобья живыми глазами, коротко говорит чумазый глава крестьянско-фермерского хозяйства Дробчек. ";"54426:252:0"
" ,галодеб и вокчиратс аму зи хишвижыв";"хыннешиламу";"выживших из ума старичков и бедолаг, ";"умалишенных";" ";"от рождения. ";"Ирина Васюченко. Хромые на склоне // «Ковчег», 2014";"Ирина Васюченко";"1946";"Хромые на склоне";"2014";"художественная";"повесть";"";"«Ковчег»";"2014";"журнал";"омонимия снята автоматически";"7713";"80325";"н-возраст";"н-уровень";"большая";"И, похоже, убежден, что иначе не поступает никто, кроме выживших из ума старичков и бедолаг, умалишенных от рождения. ";"60476:3175:15"
" еыньледтО";"еыннешиламу";"Отдельные ";"умалишенные";" ";"из приезжих с севера, вызывая неодобрение";"Ирина Васюченко. Хромые на склоне // «Ковчег», 2014";"Ирина Васюченко";"1946";"Хромые на склоне";"2014";"художественная";"повесть";"";"«Ковчег»";"2014";"журнал";"омонимия снята автоматически";"7713";"80325";"н-возраст";"н-уровень";"большая";"Отдельные умалишенные из приезжих с севера, вызывая неодобрение местных жителей, плавают в море. ";"60476:5391:1"
" аз тюаминирп оге отч ,от олажардзар";"огоннешиламу";"раздражало то, что его принимают за ";"умалишенного";". ";"";"Сергей Кулаков. Нить Ариадны // «Сибирские огни», 2013";"Сергей Кулаков";"1964";"Нить Ариадны";"2013";"художественная";"рассказ";"";"«Сибирские огни»";"2013";"журнал";"омонимия снята автоматически";"92";"2156";"н-возраст";"н-уровень";"средняя";"Доктор задавал ему вопросы, мягко требуя на них ответы, и N. поначалу раздражало то, что его принимают за умалишенного. ";"59689:45:18"
